Department,course,level,Class,term,percent
C&HE,EDCE 6200,Graduate,Foundations of Counseling,Fall 13-14,63.3
C&HE,EDCE 6220,Graduate,Career Development,Fall 13-14,76.7
C&HE,EDCE 6240,Graduate,Professional School Counseling,Fall 13-14,
C&HE,EDCE 6260,Graduate,Med Psycho Issues- Rehab,Fall 13-14,
C&HE,EDCE 6290,Graduate,Job Placement Theory and Tech,Fall 13-14,10
C&HE,EDCE 6310,Graduate,Appraisal I,Fall 13-14,60
C&HE,EDCE 6450,Graduate,Counseling Over the Lifespan,Fall 13-14,
C&HE,EDCE 6500,Graduate,Group Counseling I,Fall 13-14,
C&HE,EDCE 6550,Graduate,Counseling Theory and Tech,Fall 13-14,60
C&HE,EDCE 6620,Graduate,Diag and Treatment Plan,Fall 13-14,
C&HE,EDCE 6750,Graduate,Psychopathology for Counselors,Fall 13-14,
C&HE,EDCE 6810,Graduate,Seminar in Counseling,Fall 13-14,
C&HE,EDCE 6850,Graduate,Multicultural Education,Fall 13-14,23.3
C&HE,EDCE 6860,Graduate,Multicultural Counseling,Fall 13-14,
C&HE,EDCE 6900,Graduate,Special Topics in EDCE,Fall 13-14,20
C&HE,EDCE 6910,Graduate,Field Experience in Counseling,Fall 13-14,2.2
C&HE,EDCE 6914,Graduate,Counseling Internship,Fall 13-14,56.7
C&HE,EDCE 6915,Graduate,Counseling Internship,Fall 13-14,23.3
C&HE,EDCE 6920,Graduate,Counseling Practicum,Fall 13-14,
C&HE,EDCE 6921,Graduate,Advanced Counseling: School,Fall 13-14,70
C&HE,EDCE 6922,Graduate,Adv Prac: Clinical Mental Hlth,Fall 13-14,40
C&HE,EDCE 6924,Graduate,Advanced Practicum: Rehab,Fall 13-14,40
C&HE,EDCE 6930,Graduate,Readings and Research in Couns,Fall 13-14,7.7
C&HE,EDCE 7241,Graduate,Introduction to Play Therapy,Fall 13-14,
C&HE,EDCE 7245,Graduate,Counsel Child and Adolescents,Fall 13-14,
C&HE,EDCE 7320,Graduate,Personality Assessment,Fall 13-14,
C&HE,EDCE 7330,Graduate,Couns Assess of Child and Adol,Fall 13-14,
C&HE,EDCE 7390,Graduate,Family Counseling,Fall 13-14,
C&HE,EDCE 7600,Graduate,Addictions Counseling,Fall 13-14,
C&HE,EDCE 7620,Graduate,Legal Ethic Aspects of Counsel,Fall 13-14,70
C&HE,EDCE 7700,Graduate,Brief and Solution Focus Ther,Fall 13-14,
C&HE,EDCE 7701,Graduate,Suicide Essentials,Fall 13-14,
C&HE,EDCE 7703,Graduate,Cognitive Therapy,Fall 13-14,
C&HE,EDCE 7704,Graduate,Counsel Term Ill and HIV/AIDS,Fall 13-14,
C&HE,EDCE 7705,Graduate,Rational Emotive Behav Therapy,Fall 13-14,
C&HE,EDCE 7720,Graduate,Psychiatric Rehabilitation,Fall 13-14,
C&HE,EDCE 8200,Graduate,Adv Sem for Counseling Educ,Fall 13-14,26.7
C&HE,EDCE 8240,Graduate,CE Professional Publications,Fall 13-14,60
C&HE,EDCE 8520,Graduate,Advanced Group Counseling,Fall 13-14,
C&HE,EDCE 8550,Graduate,Counseling Theory Advanced,Fall 13-14,
C&HE,EDCE 8590,Graduate,Counselor Supervision,Fall 13-14,26.7
