year,Department,level,sum_enrolled,sum_max_size,percent
13-14,C&HE,Graduate,1180,3320,35.5
13-14,C&HE,Undergraduate,394,560,70.4
13-14,EDST,Graduate,1198,5131,23.3
13-14,EDST,Undergraduate,568,955,59.5
13-14,HCSE,Graduate,19,268,7.1
13-14,HCSE,Undergraduate,2421,3602,67.2
13-14,RSP,Graduate,397,1170,33.9
13-14,RSP,Undergraduate,4715,6434,73.3
13-14,TEDU,Graduate,1372,3657,37.5
13-14,TEDU,Undergraduate,4333,6330,68.5
14-15,C&HE,Graduate,1240,3097,40
14-15,C&HE,Undergraduate,424,690,61.4
14-15,EDST,Graduate,1151,4988,23.1
14-15,EDST,Undergraduate,646,925,69.8
14-15,HCSE,Graduate,27,313,8.6
14-15,HCSE,Undergraduate,2464,3524,69.9
14-15,RSP,Graduate,587,1332,44.1
14-15,RSP,Undergraduate,4567,6518,70.1
14-15,TEDU,Graduate,1184,3531,33.5
14-15,TEDU,Undergraduate,4474,6548,68.3
15-16,C&HE,Graduate,1221,2739,44.6
15-16,C&HE,Undergraduate,235,915,25.7
15-16,EDST,Graduate,1086,5672,19.1
15-16,EDST,Undergraduate,591,1075,55
15-16,HCSE,Graduate,22,260,8.5
15-16,HCSE,Undergraduate,2441,3665,66.6
15-16,RSP,Graduate,505,1280,39.5
15-16,RSP,Undergraduate,4757,6236,76.3
15-16,TEDU,Graduate,1147,4710,24.4
15-16,TEDU,Undergraduate,4676,6803,68.7
16-17,C&HE,Graduate,1182,2931,40.3
16-17,C&HE,Undergraduate,222,660,33.6
16-17,EDST,Graduate,1068,5085,21
16-17,EDST,Undergraduate,618,1320,46.8
16-17,HCSE,Graduate,17,224,7.6
16-17,HCSE,Undergraduate,2284,4156,55
16-17,RSP,Graduate,531,1513,35.1
16-17,RSP,Undergraduate,4219,6119,68.9
16-17,TEDU,Graduate,1239,4094,30.3
16-17,TEDU,Undergraduate,5295,8066,65.6
17-18,C&HE,Graduate,1177,2790,42.2
17-18,C&HE,Undergraduate,161,270,59.6
17-18,EDST,Graduate,1027,6025,17
17-18,EDST,Undergraduate,647,1140,56.8
17-18,HCSE,Graduate,16,80,20
17-18,HCSE,Undergraduate,1994,3726,53.5
17-18,RSP,Graduate,478,1129,42.3
17-18,RSP,Undergraduate,4096,6862,59.7
17-18,TEDU,Graduate,738,4079,18.1
17-18,TEDU,Undergraduate,5095,9750,52.3
